"new_word","connection","assoc","meaning","text"
"exhaustive","ყოფილ სახლში ტელევიზორი ამომწურავ ინფოს გვიჩვენებდა","ex სახლი tv","ამომწურავი","<p>asdf</p>"
"severity","строгие оба север и ты","север и ты","строгость","<p><span style=""background-color: rgb(247, 173, 107); font-size: 24px;"">ასდ</span></p>"
"nasty","ნესტიანი ნასკის სუნი საზიზღარია","ნესტიანი ნასკი","საზიზღარი",""
"mourn","","","დატირება",""
"obtuse","ორივე კბილი ჩლუნგი აქვს","ორივე კბილი (оба tooth) ","ჩლუნგი",""
"rabies","ბზიკებით დაკბენილი რაბინები ცოფდებიან","რაბინები, ბზიკები","ცოფიანობა",""
"beguiling (ბეგაილინგ)","","","заманчивый",""
"denounce","","","განკითხვა",""
"harshly","","","უხეშად",""
"convicted","конь виктории осудил ее","конь виктории","осужденный",""
"oppression","ოპერაში პრისიონერას მომღერალი დაიჩაგრება","ოპერა პრისიონერა","угнетение",""
"cherish","лелеять черешню","черешня","лелеять",""
"gruesome","გაიზარდა რაღაც საზიზღარი","გაიზარდა რაღაც","отвратительный",""
"ascertain","","","определять",""
"Crave","","","жаждать",""
"helpmeet","","","помощник",""
"abuse","","","злоупотребление",""
"admission","","","вход",""
"anticipate","წინასწარ ვხედავ ჩემს ანტი სიფათს","ანტი სიფათი","წინასწარ ხედვა",""
"assumption","","","предположение",""
"blanket","","","одеяло",""
"bury","","","хоронить",""
"coal","","","уголь",""
"controversial","","","спорный",""
"urge","","","побуждать",""
"exhort","","","увещевать",""
"complain","","","жаловаться",""
"eliminate","","","Устранить",""
"emphasis","","","акцент",""
"fiber","","","волокно",""
"grocery","","","продуктовый",""
"maintain","","","поддерживать",""
"provision","","","обеспечение",""
"seize","","","воспользоваться",""
"sustain","","","поддерживать",""
"tremendous","","","огромный",""
"funding","","","финансирование",""
"haphazard","","","бессистемный",""
"daunting","","","пугающим",""
"neglect","","","пренебрежение",""
"beneficence","","","благодеяние",""
"emphasize","","","подчеркивать",""
"storehouse","","","кладезь",""
"sacred","","","священный",""
"grain","","","зерно",""
"diverted","","","переадресованы",""
"merits","","","заслуги",""
"submissive","","","покорный",""
"inhabitants","","","жителей",""
"furnished","","","меблированный",""
"grunting","","","хрюканье",""
"magpie","","","болтун",""
"flapping","","","хлопающий",""
"groan","","","стон",""
"rumbling","","","урчание",""
"chuckle","","","посмеиваться",""
"dull","","","скучный",""
"patch","","","пластырь",""
"bulky","","","объемистый",""
"flux","","","поток",""
"shiver","","","дрожать",""
"rehearsal","","","репетиция",""
"infants","","","дети",""
"drought","","","засуха",""
"bestow","","","даровать",""
"merely","","","просто",""
"elicit","","","вызывать",""
"implies","","","подразумевает",""
"precedence","","","старшинство",""
"sufficient","","","достаточно",""
"disrupt","","","срывать",""
"vast","","","огромный",""
"decent","","","приличная",""
"tremendously","","","чрезвычайно",""
"mutually","","","взаимно",""
"In a sense","","","В некотором смысле",""
"coefficient","","","коэффициент",""
"assume","","","предполагать",""
"semiconductor","ბიძია სემი ავტობუსში ხან ატარებს ხალხს ხან არა","ძია სემი კონდუქტორია","ნახევრად გამტარი",""
